CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,segment,segment_name,refined_segment_name
93,Male,48,60,49,2,Balanced Shoppers 2,Established Comfort Shoppers
94,Female,40,60,40,2,Balanced Shoppers 2,Established Comfort Shoppers
95,Female,32,60,42,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
96,Male,24,60,52,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
97,Female,47,60,47,2,Balanced Shoppers 2,Established Comfort Shoppers
98,Female,27,60,50,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
99,Male,48,61,42,2,Balanced Shoppers 2,Established Comfort Shoppers
100,Male,20,61,49,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
101,Female,23,62,41,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
102,Female,49,62,48,2,Balanced Shoppers 2,Established Comfort Shoppers
103,Male,67,62,59,2,Balanced Shoppers 2,Established Comfort Shoppers
104,Male,26,62,55,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
105,Male,49,62,56,2,Balanced Shoppers 2,Established Comfort Shoppers
106,Female,21,62,42,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
107,Female,66,63,50,2,Balanced Shoppers 2,Established Comfort Shoppers
108,Male,54,63,46,2,Balanced Shoppers 2,Established Comfort Shoppers
109,Male,68,63,43,2,Balanced Shoppers 2,Established Comfort Shoppers
110,Male,66,63,48,2,Balanced Shoppers 2,Established Comfort Shoppers
111,Male,65,63,52,2,Balanced Shoppers 2,Established Comfort Shoppers
112,Female,19,63,54,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
113,Female,38,64,42,2,Balanced Shoppers 2,Established Comfort Shoppers
114,Male,19,64,46,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
115,Female,18,65,48,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
116,Female,19,65,50,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
117,Female,63,65,43,2,Balanced Shoppers 2,Established Comfort Shoppers
118,Female,49,65,59,2,Balanced Shoppers 2,Established Comfort Shoppers
119,Female,51,67,43,2,Balanced Shoppers 2,Established Comfort Shoppers
120,Female,50,67,57,2,Balanced Shoppers 2,Established Comfort Shoppers
121,Male,27,67,56,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
122,Female,38,67,40,2,Balanced Shoppers 2,Established Comfort Shoppers
123,Female,40,69,58,2,Balanced Shoppers 2,Established Comfort Shoppers
124,Male,39,69,91,3,Premium High-Value Shoppers,Premium Momentum Spenders
125,Female,23,70,29,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
126,Female,31,70,77,3,Premium High-Value Shoppers,Premium Momentum Spenders
127,Male,43,71,35,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
128,Male,40,71,95,3,Premium High-Value Shoppers,Premium Momentum Spenders
129,Male,59,71,11,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
130,Male,38,71,75,3,Premium High-Value Shoppers,Premium Momentum Spenders
131,Male,47,71,9,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
132,Male,39,71,75,3,Premium High-Value Shoppers,Premium Momentum Spenders
133,Female,25,72,34,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
134,Female,31,72,71,3,Premium High-Value Shoppers,Premium Momentum Spenders
135,Male,20,73,5,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
136,Female,29,73,88,3,Premium High-Value Shoppers,Premium Momentum Spenders
137,Female,44,73,7,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
138,Male,32,73,73,3,Premium High-Value Shoppers,Premium Momentum Spenders
139,Male,19,74,10,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
140,Female,35,74,72,3,Premium High-Value Shoppers,Premium Momentum Spenders
141,Female,57,75,5,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
142,Male,32,75,93,3,Premium High-Value Shoppers,Premium Momentum Spenders
143,Female,28,76,40,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
144,Female,32,76,87,3,Premium High-Value Shoppers,Premium Momentum Spenders
145,Male,25,77,12,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
146,Male,28,77,97,3,Premium High-Value Shoppers,Premium Momentum Spenders
147,Male,48,77,36,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
148,Female,32,77,74,3,Premium High-Value Shoppers,Premium Momentum Spenders
149,Female,34,78,22,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
150,Male,34,78,90,3,Premium High-Value Shoppers,Premium Momentum Spenders
151,Male,43,78,17,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
152,Male,39,78,88,3,Premium High-Value Shoppers,Premium Momentum Spenders
153,Female,44,78,20,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
154,Female,38,78,76,3,Premium High-Value Shoppers,Premium Momentum Spenders
155,Female,47,78,16,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
156,Female,27,78,89,3,Premium High-Value Shoppers,Premium Momentum Spenders
157,Male,37,78,1,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
158,Female,30,78,78,3,Premium High-Value Shoppers,Premium Momentum Spenders
159,Male,34,78,1,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
160,Female,30,78,73,3,Premium High-Value Shoppers,Premium Momentum Spenders
161,Female,56,79,35,2,Balanced Shoppers 2,Established Comfort Shoppers
162,Female,29,79,83,3,Premium High-Value Shoppers,Premium Momentum Spenders
163,Male,19,81,5,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
164,Female,31,81,93,3,Premium High-Value Shoppers,Premium Momentum Spenders
165,Male,50,85,26,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
166,Female,36,85,75,3,Premium High-Value Shoppers,Premium Momentum Spenders
167,Male,42,86,20,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
168,Female,33,86,95,3,Premium High-Value Shoppers,Premium Momentum Spenders
169,Female,36,87,27,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
170,Male,32,87,63,3,Premium High-Value Shoppers,Premium Momentum Spenders
171,Male,40,87,13,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
172,Male,28,87,75,3,Premium High-Value Shoppers,Premium Momentum Spenders
173,Male,36,87,10,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
174,Male,36,87,92,3,Premium High-Value Shoppers,Premium Momentum Spenders
175,Female,52,88,13,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
176,Female,30,88,86,3,Premium High-Value Shoppers,Premium Momentum Spenders
177,Male,58,88,15,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
178,Male,27,88,69,3,Premium High-Value Shoppers,Premium Momentum Spenders
179,Male,59,93,14,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
180,Male,35,93,90,3,Premium High-Value Shoppers,Premium Momentum Spenders
181,Female,37,97,32,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
182,Female,32,97,86,3,Premium High-Value Shoppers,Premium Momentum Spenders
183,Male,46,98,15,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
184,Female,29,98,88,3,Premium High-Value Shoppers,Premium Momentum Spenders
185,Female,41,99,39,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
186,Male,30,99,97,3,Premium High-Value Shoppers,Premium Momentum Spenders
187,Female,54,101,24,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
188,Male,28,101,68,3,Premium High-Value Shoppers,Premium Momentum Spenders
189,Female,41,103,17,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
190,Female,36,103,85,3,Premium High-Value Shoppers,Premium Momentum Spenders
191,Female,34,103,23,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
192,Female,32,103,69,3,Premium High-Value Shoppers,Premium Momentum Spenders
193,Male,33,113,8,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
194,Female,38,113,91,3,Premium High-Value Shoppers,Premium Momentum Spenders
195,Female,47,120,16,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
196,Female,35,120,79,3,Premium High-Value Shoppers,Premium Momentum Spenders
197,Female,45,126,28,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
198,Male,32,126,74,3,Premium High-Value Shoppers,Premium Momentum Spenders
199,Male,32,137,18,5,Affluent Low-Engagement,Affluent Low-Engagement Professionals
200,Male,30,137,83,3,Premium High-Value Shoppers,Premium Momentum Spenders
