CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,segment,segment_name
129,Male,59,71,11,5,Affluent Low-Engagement
130,Male,38,71,75,3,Premium High-Value Shoppers
131,Male,47,71,9,5,Affluent Low-Engagement
132,Male,39,71,75,3,Premium High-Value Shoppers
133,Female,25,72,34,1,Balanced Shoppers 1
134,Female,31,72,71,3,Premium High-Value Shoppers
135,Male,20,73,5,1,Balanced Shoppers 1
136,Female,29,73,88,3,Premium High-Value Shoppers
137,Female,44,73,7,5,Affluent Low-Engagement
138,Male,32,73,73,3,Premium High-Value Shoppers
139,Male,19,74,10,1,Balanced Shoppers 1
140,Female,35,74,72,3,Premium High-Value Shoppers
141,Female,57,75,5,5,Affluent Low-Engagement
142,Male,32,75,93,3,Premium High-Value Shoppers
143,Female,28,76,40,1,Balanced Shoppers 1
144,Female,32,76,87,3,Premium High-Value Shoppers
145,Male,25,77,12,1,Balanced Shoppers 1
146,Male,28,77,97,3,Premium High-Value Shoppers
147,Male,48,77,36,5,Affluent Low-Engagement
148,Female,32,77,74,3,Premium High-Value Shoppers
149,Female,34,78,22,5,Affluent Low-Engagement
150,Male,34,78,90,3,Premium High-Value Shoppers
151,Male,43,78,17,5,Affluent Low-Engagement
152,Male,39,78,88,3,Premium High-Value Shoppers
153,Female,44,78,20,5,Affluent Low-Engagement
154,Female,38,78,76,3,Premium High-Value Shoppers
155,Female,47,78,16,5,Affluent Low-Engagement
156,Female,27,78,89,3,Premium High-Value Shoppers
157,Male,37,78,1,5,Affluent Low-Engagement
158,Female,30,78,78,3,Premium High-Value Shoppers
159,Male,34,78,1,5,Affluent Low-Engagement
160,Female,30,78,73,3,Premium High-Value Shoppers
161,Female,56,79,35,2,Balanced Shoppers 2
162,Female,29,79,83,3,Premium High-Value Shoppers
163,Male,19,81,5,1,Balanced Shoppers 1
164,Female,31,81,93,3,Premium High-Value Shoppers
165,Male,50,85,26,5,Affluent Low-Engagement
166,Female,36,85,75,3,Premium High-Value Shoppers
167,Male,42,86,20,5,Affluent Low-Engagement
168,Female,33,86,95,3,Premium High-Value Shoppers
169,Female,36,87,27,5,Affluent Low-Engagement
170,Male,32,87,63,3,Premium High-Value Shoppers
171,Male,40,87,13,5,Affluent Low-Engagement
172,Male,28,87,75,3,Premium High-Value Shoppers
173,Male,36,87,10,5,Affluent Low-Engagement
174,Male,36,87,92,3,Premium High-Value Shoppers
175,Female,52,88,13,5,Affluent Low-Engagement
176,Female,30,88,86,3,Premium High-Value Shoppers
177,Male,58,88,15,5,Affluent Low-Engagement
178,Male,27,88,69,3,Premium High-Value Shoppers
179,Male,59,93,14,5,Affluent Low-Engagement
180,Male,35,93,90,3,Premium High-Value Shoppers
181,Female,37,97,32,5,Affluent Low-Engagement
182,Female,32,97,86,3,Premium High-Value Shoppers
183,Male,46,98,15,5,Affluent Low-Engagement
184,Female,29,98,88,3,Premium High-Value Shoppers
185,Female,41,99,39,5,Affluent Low-Engagement
186,Male,30,99,97,3,Premium High-Value Shoppers
187,Female,54,101,24,5,Affluent Low-Engagement
188,Male,28,101,68,3,Premium High-Value Shoppers
189,Female,41,103,17,5,Affluent Low-Engagement
190,Female,36,103,85,3,Premium High-Value Shoppers
191,Female,34,103,23,5,Affluent Low-Engagement
192,Female,32,103,69,3,Premium High-Value Shoppers
193,Male,33,113,8,5,Affluent Low-Engagement
194,Female,38,113,91,3,Premium High-Value Shoppers
195,Female,47,120,16,5,Affluent Low-Engagement
196,Female,35,120,79,3,Premium High-Value Shoppers
197,Female,45,126,28,5,Affluent Low-Engagement
198,Male,32,126,74,3,Premium High-Value Shoppers
199,Male,32,137,18,5,Affluent Low-Engagement
200,Male,30,137,83,3,Premium High-Value Shoppers
